Player,Versus,BasedOnMinutes,scouting_period,Per90_Average Pass Length,Per90_Avg. Distance of Def. Actions,Per90_Avg. Length of Goal Kicks,Per90_Clean Sheet Percentage,Per90_Clean Sheets,Per90_Corner Kick Goals Against,Per90_Crosses Faced,Per90_Crosses Stopped,Per90_Crosses Stopped %,Per90_Def. Actions Outside Pen. Area,Per90_Draws,Per90_Free Kick Goals Against,Per90_Goal Kicks,Per90_Goals Against,Per90_Launch %,Per90_Launch% (Goal Kicks),Per90_Losses,Per90_Own Goals Scored Against Goalkeeper,Per90_PSxG-GA,Per90_PSxG/SoT,Per90_Pass Completion Percentage (Launched),Per90_Passes Attempted (GK),Per90_Passes Attempted (Launched),Per90_Passes Completed (Launched),Per90_Penalty Kicks Allowed,Per90_Penalty Kicks Attempted,Per90_Penalty Kicks Missed,Per90_Penalty Kicks Saved,Per90_Post-Shot Expected Goals,Per90_Save Percentage,Per90_Save% (Penalty Kicks),Per90_Saves,Per90_Shots on Target Against,Per90_Throws Attempted,Per90_Wins
Emiliano Martínez,Goalkeepers,3015,2023-2024 Premier League,27.7,17.5,36.1,24.2,0.24,0.3,11.13,1.34,12.1,2.06,0.24,0.0,4.75,1.43,21.0,40.9,0.21,0.12,0.2,0.37,36.4,37.91,9.91,3.61,0.03,0.03,0.0,0.0,1.51,65.9,0.0,2.84,4.15,4.69,0.57
Emiliano Martínez,Goalkeepers,3139,2022-2023 Premier League,33.0,16.6,40.7,32.4,0.32,0.17,13.85,1.72,12.4,2.09,0.2,0.03,6.08,1.09,35.5,50.5,0.34,0.11,0.07,0.24,38.0,33.57,15.0,5.71,0.11,0.14,0.0,0.03,1.05,73.6,20.0,2.78,3.78,3.87,0.49
Emiliano Martínez,Goalkeepers,3240,2021-2022 Premier League,33.6,15.4,34.1,30.6,0.31,0.14,13.17,0.94,7.2,0.92,0.17,0.06,7.64,1.33,36.4,38.5,0.47,0.06,-0.11,0.27,36.0,22.89,11.28,4.06,0.11,0.17,0.03,0.03,1.17,68.6,20.0,2.58,3.89,4.5,0.36
Emiliano Martínez,Goalkeepers,3420,2020-2021 Premier League,37.1,14.2,47.0,39.5,0.39,0.11,16.13,1.11,6.9,0.89,0.18,0.05,6.66,1.21,45.1,64.0,0.39,0.03,0.11,0.24,38.7,27.84,16.82,6.5,0.13,0.16,0.0,0.03,1.29,78.0,16.7,3.5,4.89,4.66,0.42
Emiliano Martínez,Goalkeepers,3600,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",28.8,13.5,41.5,25.6,0.25,0.15,12.7,1.55,12.2,1.05,0.25,0.03,4.45,1.4,21.5,50.0,0.25,0.05,0.13,0.33,39.5,36.38,10.25,4.05,0.08,0.1,0.0,0.03,1.47,68.6,25.0,2.88,4.25,3.83,0.53
Filip Jørgensen,Goalkeepers,270,2022-2023 Europa Conference League,28.8,20.4,43.3,33.3,0.33,0.0,13.0,0.33,2.6,2.0,0.0,0.0,7.67,1.33,23.2,56.5,0.0,0.0,0.0,0.4,51.7,23.0,9.67,5.0,0.33,0.33,0.0,0.0,1.33,62.5,0.0,1.33,2.67,3.33,1.0
Filip Jørgensen,Goalkeepers,540,2024-2025 Conference League,20.5,13.1,27.5,33.3,0.33,0.33,9.0,1.17,13.0,0.67,0.0,0.0,1.67,0.83,5.9,20.0,0.0,0.0,0.58,0.29,12.5,39.83,2.67,0.33,0.0,0.0,0.0,0.0,1.42,83.9,,4.33,5.17,6.83,1.0
Filip Jørgensen,Goalkeepers,540,Last 365 Days Men's Next 14 Competitions,20.5,13.1,27.5,33.3,0.33,0.33,9.0,1.17,13.0,0.67,0.0,0.0,1.67,0.83,5.9,20.0,0.0,0.0,0.58,0.29,12.5,39.83,2.67,0.33,0.0,0.0,0.0,0.0,1.42,83.9,,4.33,5.17,6.83,1.0
Filip Jørgensen,Goalkeepers,990,2022-2023 Segunda División,29.4,12.1,36.4,36.4,0.36,0.45,13.91,1.0,7.2,0.64,0.27,0.09,8.91,1.0,21.8,33.7,0.36,0.0,0.1,0.28,36.3,24.18,8.27,3.0,0.09,0.09,0.0,0.0,1.1,75.0,0.0,2.64,3.64,5.73,0.36
Filip Jørgensen,Goalkeepers,1710,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",29.9,13.2,35.6,21.1,0.21,0.11,16.47,0.89,5.4,0.95,0.32,0.0,6.32,1.37,25.4,34.2,0.16,0.05,0.07,0.27,37.6,26.74,8.95,3.37,0.16,0.16,0.0,0.0,1.39,75.0,0.0,3.53,4.84,4.63,0.53
Filip Jørgensen,Goalkeepers,3240,2023-2024 La Liga,29.7,13.4,37.8,16.7,0.17,0.25,18.06,0.94,5.2,1.0,0.28,0.03,6.81,1.75,24.5,41.6,0.36,0.03,-0.06,0.27,40.0,29.31,10.0,4.0,0.17,0.17,0.0,0.0,1.66,72.2,0.0,3.97,5.69,4.94,0.36
