Player,Versus,BasedOnMinutes,scouting_period,Percentile_Average Pass Length,Percentile_Avg. Distance of Def. Actions,Percentile_Avg. Length of Goal Kicks,Percentile_Clean Sheet Percentage,Percentile_Clean Sheets,Percentile_Corner Kick Goals Against,Percentile_Crosses Faced,Percentile_Crosses Stopped,Percentile_Crosses Stopped %,Percentile_Def. Actions Outside Pen. Area,Percentile_Draws,Percentile_Free Kick Goals Against,Percentile_Goal Kicks,Percentile_Goals Against,Percentile_Launch %,Percentile_Launch% (Goal Kicks),Percentile_Losses,Percentile_Own Goals Scored Against Goalkeeper,Percentile_PSxG-GA,Percentile_PSxG/SoT,Percentile_Pass Completion Percentage (Launched),Percentile_Passes Attempted (GK),Percentile_Passes Attempted (Launched),Percentile_Passes Completed (Launched),Percentile_Penalty Kicks Allowed,Percentile_Penalty Kicks Attempted,Percentile_Penalty Kicks Missed,Percentile_Penalty Kicks Saved,Percentile_Post-Shot Expected Goals,Percentile_Save Percentage,Percentile_Save% (Penalty Kicks),Percentile_Saves,Percentile_Shots on Target Against,Percentile_Throws Attempted,Percentile_Wins
Robert Sánchez,Goalkeepers,1433,2023-2024 Premier League,33.0,59.0,14.0,48.0,39.0,58.0,36.0,70.0,80.0,77.0,73.0,64.0,42.0,61.0,27.0,23.0,61.0,86.0,45.0,44.0,86.0,55.0,23.0,45.0,45.0,70.0,45.0,92.0,45.0,61.0,84.0,58.0,61.0,77.0,39.0
Robert Sánchez,Goalkeepers,1710,2024-2025 Premier League,48.0,70.0,20.0,48.0,52.0,83.0,9.0,83.0,94.0,98.0,76.0,63.0,6.0,72.0,43.0,20.0,17.0,70.0,50.0,7.0,2.0,91.0,43.0,20.0,13.0,87.0,50.0,87.0,80.0,91.0,65.0,65.0,54.0,94.0,65.0
Robert Sánchez,Goalkeepers,1710,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",36.0,77.0,21.0,38.0,38.0,94.0,8.0,91.0,99.0,96.0,86.0,70.0,1.0,70.0,35.0,25.0,11.0,84.0,70.0,7.0,1.0,91.0,43.0,14.0,9.0,93.0,40.0,77.0,55.0,96.0,65.0,73.0,62.0,98.0,74.0
Robert Sánchez,Goalkeepers,2070,2022-2023 Premier League,20.0,16.0,29.0,52.0,52.0,48.0,9.0,38.0,66.0,13.0,52.0,75.0,23.0,63.0,20.0,23.0,27.0,16.0,45.0,16.0,23.0,59.0,23.0,9.0,9.0,95.0,39.0,80.0,88.0,45.0,55.0,5.0,5.0,38.0,73.0
Robert Sánchez,Goalkeepers,2430,2020-2021 Premier League,56.0,63.0,54.0,87.0,87.0,37.0,33.0,83.0,90.0,75.0,90.0,71.0,33.0,83.0,48.0,42.0,52.0,48.0,37.0,23.0,44.0,98.0,63.0,67.0,83.0,37.0,90.0,27.0,90.0,63.0,27.0,33.0,17.0,40.0,17.0
Robert Sánchez,Goalkeepers,3329,2021-2022 Premier League,33.0,29.0,63.0,63.0,60.0,56.0,40.0,98.0,98.0,33.0,87.0,46.0,17.0,71.0,33.0,60.0,17.0,88.0,77.0,58.0,13.0,90.0,63.0,44.0,63.0,37.0,77.0,37.0,75.0,65.0,37.0,37.0,25.0,75.0,52.0
Robin Olsen,Goalkeepers,180,2023-2024 Europa Conference League,4.0,33.0,21.0,14.0,14.0,79.0,5.0,3.0,3.0,4.0,21.0,55.0,52.0,11.0,6.0,6.0,63.0,59.0,3.0,27.0,89.0,96.0,11.0,42.0,7.0,90.0,48.0,45.0,44.0,5.0,46.0,9.0,44.0,90.0,67.0
Robin Olsen,Goalkeepers,390,2021 UEFA Euro 2020,90.0,77.0,94.0,85.0,85.0,73.0,98.0,33.0,23.0,69.0,56.0,52.0,79.0,75.0,77.0,94.0,29.0,69.0,77.0,63.0,2.0,23.0,90.0,19.0,67.0,23.0,46.0,38.0,60.0,71.0,,54.0,44.0,6.0,75.0
Robin Olsen,Goalkeepers,450,2018 World Cup,82.0,47.0,92.0,95.0,95.0,40.0,98.0,39.0,27.0,40.0,23.0,13.0,89.0,79.0,79.0,69.0,44.0,66.0,31.0,24.0,31.0,45.0,85.0,69.0,73.0,23.0,45.0,45.0,92.0,73.0,,37.0,24.0,31.0,87.0
Robin Olsen,Goalkeepers,540,2017-2018 Europa League,51.0,73.0,95.0,99.0,99.0,19.0,7.0,38.0,56.0,70.0,68.0,58.0,23.0,77.0,48.0,67.0,42.0,58.0,24.0,10.0,88.0,54.0,45.0,72.0,68.0,71.0,99.0,46.0,95.0,62.0,,43.0,32.0,65.0,48.0
Robin Olsen,Goalkeepers,570,2018-2019 Champions League,40.0,31.0,60.0,64.0,64.0,41.0,76.0,73.0,68.0,36.0,12.0,13.0,82.0,45.0,37.0,50.0,71.0,56.0,94.0,47.0,19.0,68.0,59.0,45.0,37.0,51.0,47.0,42.0,24.0,88.0,42.0,87.0,81.0,96.0,69.0
Robin Olsen,Goalkeepers,630,2020-2021 Premier League,67.0,25.0,60.0,42.0,42.0,94.0,29.0,37.0,46.0,27.0,98.0,71.0,60.0,48.0,60.0,60.0,27.0,88.0,79.0,92.0,69.0,29.0,56.0,60.0,44.0,42.0,38.0,27.0,21.0,67.0,27.0,60.0,60.0,2.0,29.0
Robin Olsen,Goalkeepers,990,2021-2022 Championship,19.0,57.0,28.0,9.0,9.0,94.0,11.0,15.0,26.0,39.0,23.0,58.0,32.0,22.0,14.0,26.0,70.0,80.0,7.0,34.0,26.0,57.0,14.0,11.0,34.0,51.0,47.0,33.0,53.0,24.0,33.0,39.0,59.0,91.0,55.0
Robin Olsen,Goalkeepers,1524,2019-2020 Serie A,95.0,6.0,82.0,58.0,50.0,79.0,85.0,40.0,23.0,8.0,85.0,79.0,73.0,47.0,89.0,79.0,27.0,5.0,69.0,13.0,27.0,11.0,82.0,69.0,27.0,27.0,35.0,24.0,53.0,81.0,24.0,76.0,66.0,18.0,66.0
Robin Olsen,Goalkeepers,2430,2018-2019 Serie A,42.0,82.0,55.0,5.0,5.0,35.0,45.0,38.0,32.0,78.0,58.0,72.0,42.0,22.0,28.0,38.0,35.0,35.0,18.0,43.0,62.0,75.0,38.0,58.0,38.0,77.0,98.0,30.0,38.0,25.0,30.0,65.0,68.0,78.0,62.0
Sam Johnstone,Goalkeepers,630,2024-2025 Premier League,84.0,41.0,34.0,4.0,4.0,2.0,73.0,66.0,73.0,70.0,14.0,63.0,23.0,2.0,88.0,45.0,95.0,7.0,5.0,25.0,73.0,84.0,91.0,95.0,4.0,95.0,50.0,38.0,20.0,13.0,38.0,63.0,77.0,32.0,4.0
