Player,Per90_% of Dribblers Tackled,Per90_Aerials Lost,Per90_Blocks,Per90_Carries,Per90_Challenges Lost,Per90_Crosses into Penalty Area,Per90_Dead-ball Passes,Per90_Fouls Committed,Per90_GCA (Fouls Drawn),Per90_GCA (Live-ball Pass),Per90_GCA (Shot),Per90_Goal-Creating Actions,Per90_Goals + Assists,Per90_Goals/Shot on Target,Per90_Non-Penalty Goals - npxG,Per90_Offsides,Per90_Pass Completion %,Per90_Pass Completion % (Long),Per90_Pass Completion % (Short),Per90_Passes Offside,Per90_Passes Received,Per90_Passes into Final Third,Per90_Progressive Carrying Distance,Per90_Progressive Passes,Per90_Progressive Passes Rec,Per90_SCA (Defensive Action),Per90_SCA (Live-ball Pass),Per90_SCA (Shot),Per90_Shots from Free Kicks,Per90_Shots on Target,Per90_Shots on Target %,Per90_Successful Take-On %,Per90_Switches,Per90_Tackled During Take-On Percentage,Per90_Tackles (Mid 3rd),Per90_Through Balls,Per90_Throw-ins Taken,Per90_Total Carrying Distance,Per90_Total Passing Distance,Per90_Touches (Att Pen),Per90_Yellow Cards,Per90_npxG + xAG,Per90_npxG/Shot,Per90_npxG: Non-Penalty xG,Per90_xG: Expected Goals,age,player_market_value_euro,Finishing_Efficiency,Assist_Efficiency,Shot_Efficiency,Progressive_Play,Ball_Retention
Emerson,1.1433706022287764,-0.6594375795582826,0.10004344183274103,0.16991372805762053,-0.30472725577341486,0.35420816524799525,1.7519092980351572,-0.6475936253333848,-0.3434234594519114,-0.6523463220983343,-0.19611531057344975,-0.5159462248003889,-0.8026912297542862,-0.7400649136435719,-0.27178845545956865,-0.6348353157560169,0.46037639035366285,-0.7194342285427828,0.8341565107249707,0.2560614051767647,0.36045311405614733,-0.10335708512851574,0.37050381007486083,-0.19557704819188745,0.03991671724378115,0.7471638015529534,-0.36087105840776473,-0.49605848249218965,0.8634485087148684,-0.6249571600542776,0.44826236315340273,-0.32180224265649826,-0.7754728039253428,0.3416278222485788,0.9228962549021514,-0.76142359827979,1.9344864238896533,0.1579152774568225,0.1359503989630353,-0.6040516478967123,0.39193618817036935,-0.7091962506084525,-0.4336196432687684,-0.7070928339947979,-0.6946883411850244,0.9746011009824735,16.300417207752275,-0.0933785196650055,-0.5851627258223768,-0.7312769670756725,0.04778218323764585,-0.2701327343566073
Emil Krafth,0.38662909347917496,-0.23733176326933653,-0.5579332176621324,-0.9890313953792109,0.2696538376492065,0.3436173208590421,1.632480087937868,-0.37925070715237297,-0.4252049365427021,-1.015844508405253,-0.9618791968953386,-1.131535276375103,-1.0396065003655914,-1.3748575158853427,-0.07583103263646694,-0.7661348494974235,-0.60182049089117,-1.219995488275881,-0.2566629014787388,-0.13080396339945896,-1.031808243601527,-0.5330277662567376,-1.0303114445086778,-0.7637024916785721,-0.6840946976947048,-0.6983772155717072,-1.2518819501086125,-1.0285834525834956,-0.4871416785180818,-1.0018020546267299,-0.3423363711370574,0.020985735957245136,-1.0017697739009646,0.36239784735025304,-0.41131270151665683,-1.0509817335646583,2.111335215037065,-1.2853001528920958,-0.27365009071363294,-0.9981271591623212,-0.3113005338175231,-0.9618307371541952,-0.8739693355877661,-0.9381906062362991,-0.8984105010573916,0.9752945476055792,14.73180128983843,-0.11641177123044777,-0.6834640430147413,-0.8372384291313572,-0.9353924249658129,-0.20145765157918952
Emile Smith Rowe,-1.3756102460490671,-0.7060480852242761,-1.232491098101954,0.04958227003562898,-0.17897071242818086,-0.4602916197582488,-0.6542632800936298,-1.4353711161686626,-0.3376291317057362,1.626058647054877,0.029902303879158855,1.1850658009396606,0.6012354861538292,1.6347953617948023,0.9089211102105162,-0.05133526668841595,1.0701924780948568,0.6303547295571778,0.8130216810038661,-0.35136988077707204,0.15244345328419356,-0.12641840381652017,0.2591100633625079,0.4979428437089763,0.5941187438716743,1.0975835432360461,0.9717623903812979,1.0784781012218099,-0.4871416785180818,0.1620597571393236,0.16985254925676105,-0.08543677012537468,-0.8483009340811495,0.4551116687885867,-0.6842633192624519,-0.14347121626019602,-0.60031639645215,0.2202294364140947,-0.3547096410045051,0.1770314471673945,-1.5912740041164044,0.34045814501868354,0.6968264209765866,0.2843209797709417,0.17928357775061932,-0.539886323878839,17.281246460764002,0.013956162123939036,0.3265449698386383,0.8269007231148006,0.8551709171253004,-0.005809856438470697
Emmanuel Agbadou,1.3093695138120958,-0.44260620559675073,1.6549986631202347,1.1299791478965835,-0.29897200535746865,-0.7901842421709748,-0.05053679155935798,0.0630748519024373,-0.7803219545427246,-1.2499919271780635,-0.6638090027605371,-1.3134716686798669,-0.8606899717675988,-0.01692078303290584,-0.40504256254939514,-0.5315747265436073,0.994973403425475,0.9731583427723067,0.44965640625550407,-0.32785816086458125,0.48855898189914443,0.9947066790750329,1.5898927885008056,0.753423422371009,-1.1439425506004781,-0.8772032633124415,-0.658563608269758,-0.5996385537331552,-0.24646401690738365,-0.808674929028774,-1.4872848223505166,0.41697728197743344,1.8935452496145324,0.15374194102259556,-0.49884041705015575,0.18979060173193144,-0.23731891286108578,1.592465471121059,1.4387455778058966,-0.8778146042886024,-0.18599988205792495,-0.7749127688020037,-0.5964962707334932,-0.6038957315866316,-0.6037158649415428,0.24786903996841675,16.11809565095832,-0.08795017670985943,-0.6128880124402508,-0.8044211079760575,0.07186874284429205,0.29292756119219127
Enes Ünal,-2.061654170472067,4.0448924649818965,-1.0967316133476996,-1.4638380525344488,0.090405595293894,-0.7353733730250048,-0.8761705871081686,2.0322004521888757,1.5752243737856524,-0.36488658715381345,0.12302283503675207,-0.17192103944250378,0.8838963629955409,0.3167979314272034,-0.022843864966369018,2.0084357565385815,-2.042945982861753,0.17988470178375052,-2.530883993438578,-0.19260981368282817,-1.0431398111849681,-1.0178419146769004,-1.750638126891378,-1.2979838698646486,0.15864179607647752,-0.18332430417917234,-0.39211519306393533,0.9507038929406376,2.7499272123844167,0.9648173520323484,0.36552711660659204,-0.36720958635539663,-0.8231805913277411,0.8433302818095879,-0.6681640367257272,-0.2796752856219302,-0.6423316586621453,-1.8246173743148988,-1.522695930352168,0.8190220203458838,0.2979784700029845,0.543201449320294,0.3456076936061966,0.8784718006613119,1.2285259225451777,0.2742200116464081,16.38045991542581,-2.1058187078768786,1.1398363433185235,0.692670904547897,-1.4071809854553439,-0.5209448286544556
Enzo Fernández,-0.18146901772080912,-0.505191484677465,0.37362629114041823,2.033560822019914,2.081916346857894,-0.4870283669321777,-0.05792478091265099,0.3542238682482818,-0.34200291987917747,1.877686399829227,-0.16501649170133506,1.2373688378683418,0.2482970635878419,-0.5659643808811657,-0.438906272694513,-0.5774946108808453,0.797517118787226,1.4678426562941824,0.5276471862431018,2.544981171064033,2.5600024570134297,3.32967737274939,0.41180588003542484,3.4088968670799087,-0.5858542781318287,1.0672750766900656,1.8895896500858125,-0.21956552579527447,0.7857922840340218,-0.06806121189019948,-0.3803234934402125,0.4912465088717039,3.4360748771476795,-0.5675390366025571,1.284095238934082,3.041242018741493,-0.5873489798044041,0.7073261114017123,1.9138559814857905,-0.4908515749426235,0.40915006927696407,0.15378756780901684,-0.6957761198045095,-0.1932089520517492,-0.03438242060265948,-0.6598525896760222,18.132998671500584,-0.14544892189637376,-0.059511883045320436,-0.26756230503958595,2.3482726203963,0.40143495564998616
Erling Haaland,-1.2424980650666564,-0.14472412778136864,-2.2221352986117306,-2.126684993014008,-1.7079370343226492,-0.9060169264317747,-0.787079243014191,-0.8360451739316355,0.7728773522988782,0.5520836540010252,1.5789653701329867,0.945687830687426,3.9266721306656422,1.2856195995716386,1.5991090813320283,0.4571335326937533,-0.9214771200853661,0.047516373639105054,-1.4553812749636585,-0.571563683263282,-1.8702446730362667,-1.525377354144084,-1.8599574773417877,-1.6410072819187473,0.20209733742076583,-0.8662117712009183,-0.28582986118382303,1.5735668626873516,-0.3074005907301489,3.544348541477537,2.068817133042102,-0.5848390579357713,-1.2249174948471715,0.7754274229536674,-1.6562620205615834,-0.47670393710217135,-0.6359207384506429,-2.141772833877706,-1.7009534142362288,2.1302305880566843,-1.0627992582852193,3.245462262831056,2.795473074599618,4.290124387350535,4.68773864583374,-0.5350321975171243,19.11382792451231,0.09855024732436347,0.6578017937880103,2.78674183127818,-1.599220679469832,-0.49447065239031535
Ethan Pinnock,1.1584482616510379,0.8049740432674048,0.22865190780685246,0.04697044714814845,-1.2879294814243183,-0.7380843657819689,0.08459128831520471,-1.7947009339346367,-0.7803219545427246,-0.9437183009007634,-0.7689071820374054,-1.0872498402494142,-0.799009160701727,0.565188501284499,0.169736925500546,-0.7854259796043087,0.35686146878584296,-0.06841642510512713,-0.018292140917627386,-0.5570268994603278,-0.012258520686989618,-0.37183176721268174,0.5306336354760371,-0.8993876156930519,-1.197343696558425,-0.794220687915347,-1.4258750335908452,-0.3955988788481206,-0.4871416785180818,-0.7144761959850224,0.5648947113693652,1.0822954879594078,0.1613712815043833,-1.280605181913074,-0.6965247693185321,-1.0148559026876507,0.09304145726293217,-0.10464813994730449,0.8129788800232689,-0.5462053309749249,-1.6549254383718435,-0.8468143162459008,0.18856103158791304,-0.6655193549725543,-0.6580396151602261,1.2734765955407228,15.89495209964411,0.052845861884527424,-0.5437852530396096,0.2690357545366364,-1.4734030345251699,0.619002050519716
Evanilson,-0.022377819222179803,0.8739631941726422,-1.2233487820811042,-1.5646790407748894,-1.1972284334832748,-0.8755776943959551,-0.8232888455319397,1.1560990787287306,3.84724275693409,-0.5643984818249732,2.779793118780316,0.4181286685040504,1.442458196826266,1.1182015818958808,-0.05229294048911792,1.8173146277257088,-0.31940797107321867,2.2159539839466733,-0.7430804583786869,-0.852166533852396,-1.513412457307614,-1.2672135540009009,-1.6494560745970503,-1.4396415000897642,0.39836499592270674,-0.6163437087225213,-0.13768474559728763,1.9187299301369447,-0.4871416785180818,1.5675586800309458,1.16756137025435,-0.944004250455945,-1.0158126980999131,0.3604718883000838,-0.7295373977884088,0.8518594791959887,-0.6087295205981645,-1.5930106046466366,-1.5272055253754717,1.6599782987524128,-0.6705757746178572,1.786517235248735,1.973754791671979,2.1701606761186487,2.199290226303392,-0.3353195700628873,17.37085861945369,-0.24716902673298297,-0.4622355619219619,1.3580838778219413,-1.4518993033150975,-0.9066585410103719
Ezri Konsa,1.794966398236452,-0.34687539003617296,-0.22914989967921096,0.07554205923979894,-1.577849436615162,-0.807832633637961,0.08977647766331011,-1.5261265732022646,-0.3581992518163357,-1.2079463462076603,-0.8188612683819723,-1.1867767874027066,-1.0552640512660603,0.5658174452208126,-0.197429442154031,-0.7575868161953554,1.3188713672248689,0.46052616571285904,0.9558642629443281,-1.2682518361170587,-0.01506485644418785,-0.30070599050644586,-0.2687188077554487,-0.82153791869096,-1.179148853172246,-1.0563676010307628,-1.5900757715472718,-0.9008389170795381,-0.4871416785180818,-0.9455772279158939,-0.5982079445129541,0.6792560797292564,-0.8814072627446199,-1.2450555487553248,-0.7064474751417575,-0.6628599971995259,0.07322329349420362,-0.4766107033789923,0.5289842742371562,-0.9290436824302315,-0.7204022646081669,-1.0935823012758572,0.5923950876615941,-0.769061488161286,-0.749316250180997,0.1591078722109899,17.37085861945369,-0.10128082960627496,-0.9054650168659137,-0.21181085375698822,-1.3226028367949179,0.2827400800489148
