Player,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21,PCA_22,PCA_23,PCA_24,PCA_25,PCA_26,PCA_27,PCA_28,PCA_29,PCA_30,PCA_31,PCA_32,PCA_33,PCA_34,PCA_35,PCA_36,PCA_37,player_market_value_euro
Boubacar Kamara,-2.2152961275749328,0.03203395331846293,-1.8011156062887892,-2.6519038827663914,2.655829246693687,-0.15800233763119087,1.7108568432545141,-0.5518379701164386,0.5976505867872854,-0.3110836524056583,1.0195691775352327,0.9332188952543129,-0.7127487500737698,0.1320774421323371,-0.2481380533231629,-0.7690828898338088,0.35440399682841606,-1.816447511555125,-0.896910085182118,-0.3542994284822892,1.0645642469813017,-0.2217736727101428,0.8483532489644011,1.5389246167315074,0.09105461672341571,0.7539428487163711,1.0704402808395803,0.4419924438782934,-0.28714200615198904,0.31271459694060605,1.0278305861507915,-0.6292892584494201,-0.18500312670724234,-1.2853658016169833,0.3001132018130879,0.632303588128264,0.2825632275083413,38000000.0
Bukayo Saka,10.759190090825335,-2.360274681944985,1.6709505473311597,-0.75029414781791,-2.5486506431635836,-0.9551456067486265,2.413758258380729,3.112042871678324,-1.1152405651918327,1.3599237856932578,-0.6837143720146418,-1.9363236327217141,-1.564005467581272,1.2784802394481312,0.4517312032978796,-0.6643037456165188,2.395038558422275,1.4921608330005787,-0.5907536581513823,-1.9395452530873878,3.8691920349994398,-1.043761729126165,1.402442945861303,0.17695290130806104,0.9756348814347031,1.6830645197865328,0.121215795920833,1.3344235958215278,-0.8854540371524489,1.4067650803565932,0.7164909843290668,1.9656869707032523,1.168763461501289,0.21274468379056183,-0.4851759477625136,0.812676929736662,1.599437739599782,150000000.0
Caleb Okoli,-4.816283299614563,-3.9680436044061818,-2.057910981382255,0.184345385411603,1.2372120329443064,-0.07585316204591702,-0.4779344359934863,0.7523086072941266,0.9985025880212071,-0.4809414660050324,-0.49320776072317574,-1.334285615680746,0.6869317067858874,1.0009248015313816,0.09736696789283708,-2.0781503802277217,-0.1299021176731189,-0.8214143898883982,-1.340927007490007,1.4488358586279462,0.12321518186842141,0.3095883286113328,-0.3104398872680854,0.03784589046622982,0.31774220521504815,1.1727250576985073,0.8723006417768073,0.8182024992917357,0.19665181298100895,-0.8258090890115287,0.818559479439809,-0.4343316126783909,0.2795334067109269,-0.2896613618634712,0.5126863108850535,0.9591040926883396,0.05632570626761583,12000000.0
Calvin Bassey,-4.928914162568483,1.6725842756798475,0.2772732761380565,-1.4917230344653192,-1.0366932665833652,-0.1526780562103468,1.6787342877160476,-0.559489378215956,-0.3317028272423718,-2.1452685311955797,-1.7321206048107165,1.0755871010126585,0.43871696606587146,1.0682065336964104,0.24881748132345605,-0.4830744327879979,-1.8618692415290816,0.7666228823101378,-0.5145638804251655,2.023017290434984,-0.16573342051349463,-0.9721904744874932,0.03191519810126421,0.8397548173196951,-0.04612093670281309,-0.712120126172294,-0.6539287857529673,0.8329663498129349,0.2075927578688478,-0.11326767072453453,0.4375783239407867,1.0837692775963685,0.617805519005012,-0.6390757848210962,-0.1862784534554755,0.2967423843506956,-0.10612656868716054,16000000.0
Cameron Burgess,-6.770241040389513,-0.33285772751024356,1.8194887507232211,3.8295239170101874,-0.6016859779445103,1.255679350516977,-2.537730440163583,1.8452993120735999,-0.6796738173864781,0.1016968814807454,-1.0734192562400486,-1.6927697296288113,1.6270313824232652,-0.1714837538263872,1.5257654135224064,0.03732607452187578,-2.070772574432774,-0.9490331467804967,0.14049506794956632,0.29881426188818777,1.8549042946001892,-0.21360059347732624,1.5748985478463762,-0.979258935608653,-0.6489139494900562,0.1303907340683873,0.2965159603214739,-0.793474087364294,0.15443177038476172,0.4203841553450606,-0.4229818947924602,1.7496920934739444,-0.22776523535230686,1.0313483790029758,0.23825253996072765,0.3868310753940435,-0.02767424712892731,2500000.0
Chadi Riad,-6.021395649527172,-3.486158477086344,-1.421570977946383,-0.7694380893410435,-2.7942441947849375,1.6815593064310046,0.09398468372285315,1.087387746921394,0.11694654247002897,-1.8154051536313232,2.8273269094666134,-0.9269918390888926,-1.806332996934922,-0.6908838173657488,-1.0234327227278393,-2.549339389425721,-0.6373373703555046,-2.7107014602606387,-1.839524972095729,0.5580540648805062,0.736402818378174,-0.10470074908548553,-2.225989346608288,-0.5500140386243205,-0.41662204270838,-0.20865565267367697,-0.5107703978756584,0.7281469376482136,0.36640005397200726,0.32923917965416766,0.2242531083239734,-0.21668581615608268,0.4775650554440617,1.084772241006173,0.9868775917289673,0.7568549603149402,0.6723280822699049,15000000.0
Charlie Taylor,1.1664598268244335,-2.9346773607459054,-4.098013023644892,1.495511508749915,-2.249491780071783,-1.886385490867997,-2.1762694438796353,-0.9816381940421586,-0.342685506654437,0.3784877755959318,-1.807038529091815,-0.13404111409841407,1.0649575800112179,1.0075292446952306,0.9704603604835179,0.3209877149877912,-1.0566881243579715,-0.3151726594986322,-0.42052881909838075,-1.5630020611212354,0.24566999769816664,-0.6239129998897143,0.029888901812408497,0.13545473660685323,-0.2899406381540697,0.1577975892431422,0.020107426394428446,-0.617720673598711,0.37122102492764436,-0.027837434791075345,0.19122714322307668,0.06828304837932204,-0.3444159556909961,0.1838028587856903,-0.4714996578001765,-0.575133954744986,-0.40718801994500997,2800000.0
Cheick Doucouré,-0.6594139501786564,2.083042279866458,-1.350007770880022,-2.5402911173123184,1.7369461074264625,-3.1971935259989164,-0.035706140955923435,-1.738586680257,-0.730152598868014,2.529242510148979,0.3059676271393266,3.3923190966171686,-3.0520304175492408,1.010067627827484,-0.7630337488354043,-1.4622474489405284,4.198570580254281,-0.5639375123606345,1.6693934812611764,-0.4703939595629535,-1.6040981744642477,1.688017207997899,1.3334792862725307,-0.13893481146113193,-0.3465372118962913,2.9414383558906234,-1.816419863865659,-0.21038713271939896,2.274347838116888,-1.2857150360726837,0.1254014250157442,1.6109060404284856,-1.0725113168556581,0.3170977340850862,1.5663528069852857,-0.1093978555245176,-0.19478744988591867,35000000.0
Chiedozie Ogbene,13.636976842520086,-5.978025101924611,15.030449950092905,-1.0510593141212605,-6.663848299492183,-6.299975889620222,-6.805260059911243,-3.18090507528542,5.557286763944308,-4.033425537724308,0.051140499190233335,0.6341926780713184,-1.0154598861770434,0.6527380156023863,-1.02439735237763,-0.8102919706375012,0.6925818798395013,0.41137889867755634,1.4230039936266365,-1.0479252969920052,0.135681647953992,-1.151899018526985,-0.28005714077151855,1.169508578745287,1.1506083143773687,-0.5469478902853415,0.630898882692299,-0.6652832558286904,-0.6787609589074315,0.7433460748636563,0.5665090978527422,-0.16184336408432698,1.0496112716341273,-0.4228905405434566,-0.0037392090358023,0.5369895774460357,-1.253117861040096,8000000.0
Chris Richards,-3.7864213833670686,-3.239209272615616,-1.0605051274440933,-0.12105212495947003,0.5522245632437569,1.9159945967947785,-0.8536888057026485,1.818690041954798,-1.2982144776138147,-0.30494991483110434,0.340155382062718,0.24218439681719225,-0.7418372241430649,0.7740318790824882,0.047546489924718396,0.4484335405478989,0.4598703510681251,-1.3295151408634713,-0.7142244426356545,0.5013971310891403,1.6138277946708126,0.5433233834606284,0.6378278541418249,-0.45446840394941707,0.7377997122636012,-0.325420496724962,-1.0385923183242132,0.4065582341172079,0.8010403707960836,0.6733777603359139,0.636465483324379,0.1784680480200135,0.06102700011329151,-0.5068082021297705,0.1253171284448993,-0.2551036492256038,-0.6988926285254834,12000000.0
Conor Bradley,13.007707341819764,5.8130737640179895,0.6926597886865445,-6.685871167936785,7.235057457734139,1.8605330964253504,0.09296493157218247,6.091137551286303,0.03814235866866972,-5.122704691601617,-0.5876235195662605,-4.533292637369865,2.568893969189823,-2.2333768357147776,-2.750706721899492,2.578341017987482,-2.9240388420659382,-1.3698798336054092,3.644209679149997,-3.466774466175145,1.0024654853165684,1.742216886611023,-1.0861206255337632,2.838321758115745,1.4827710623882726,0.6594273172647527,-1.4609030874532396,-0.361837285282109,1.003157393887037,-0.7011775194226753,-0.5252665552086732,0.44461985938981885,0.2122139863258536,0.13845286026251497,-0.053051355301159085,-0.18819474430249128,0.6492698591560989,20000000.0
Conor Coady,-8.118121877397869,-3.1594757278111865,0.7159243898892078,2.71604596031289,-2.39505359678757,-0.8133726042070925,2.0730108417260182,0.09360497373549569,-1.546041713341205,-0.3292420583659757,-0.8262367858830146,0.0051435845565405555,-1.676413637784018,0.9975993706209507,-1.30736286206404,0.11993704118417356,-0.9409510420737905,0.26634816657959187,0.7333472643130997,-1.8184000832107625,-1.0882542015429992,1.2172729369147595,0.30376743591669947,1.541138572609934,-1.0622553678623254,-1.4723308499453551,-0.004981234864356621,0.1471148314372252,-0.3457609447425455,0.773626281446197,0.07181320012411865,0.4673006711474534,0.18452491774883142,-0.1441258128752311,-0.9947499774083383,-0.5681360544993128,0.5981337997070852,3000000.0
Conor Townsend,3.4249126028039507,-1.3487415267474119,-2.722175446370809,1.38189009451418,-1.9312235578240522,-0.4141725364297326,-3.2603164458328306,-0.361474644076745,1.19609791549225,0.4349978547065895,-0.15830247234456304,-0.10231746585108033,-0.2555708595177458,-0.9418340817971428,1.2494584123931372,-0.2861727819779065,-0.010282803407116903,0.09892504603901955,0.07841266920143523,-0.0741331776622214,-0.7685376142901498,-0.07727788704195843,-0.18933820556744702,0.44590080505252666,0.4065488923623342,-1.18853080004773,0.28045680894193065,0.09593300030794963,-0.37657796946049715,-0.033851284917923226,0.9057261673653377,0.3918473878939916,-0.3092118434719644,0.27479340492006504,0.817974422951301,-0.16488416066479106,0.2214339799858919,1200000.0
Craig Dawson,-5.0425604398772945,-4.778599003491996,2.1378248253522902,2.6665558734707737,1.8339008840422237,-1.7822736272735258,-0.6883066563892223,1.5224148409666356,0.4663175821324659,0.7618259532241078,0.8667389385271699,-0.46303652391881844,0.16123207470103004,0.33225062626003216,-0.7596028743412369,0.24872015793801996,0.24661256919981633,0.6657836589549062,1.1827564521393314,0.3874651605778261,-0.6993487870746691,-0.09470678804979255,-1.3461162647415992,0.242293702264339,-0.5047999548389841,-0.01468265769090527,-0.13317338406674487,-0.30045957475517043,0.49560737650931175,0.4422336815329767,0.4993800732473321,0.2941678466236126,-0.3712422690885442,0.2853017423729881,-1.1408346003227545,0.873682553533456,-0.11409517997468271,2000000.0
Cristian Romero,-4.078524894962453,1.201406539315307,0.6075422595687084,-2.5364932794045063,4.25655281642219,-0.9759092552650377,1.6548337098506658,-0.6123850304894461,2.9442414210745143,0.3682252326266187,1.4727381904958718,0.715758766190292,1.3676916981100742,0.5398825372026249,-0.6475970765473763,-0.2680127547538669,-0.4453245241822596,-0.3778569230867876,-0.6938349640353583,1.078687602028253,0.4634065695662153,-0.31183171785358277,0.3833661424961799,-0.36988271104294695,0.5484208245419016,-0.037109066375485146,0.23909797661029605,-0.23259842596286964,-0.3306072001292488,0.634378038153597,0.4927609613529073,-0.6978367376016346,0.6399450500103886,0.29381196312205476,0.3027028594079224,-0.04916546620670374,0.7545615731802737,65000000.0
Dan Burn,-2.3998381293367617,-3.486929719757217,-1.4737165915315602,0.27047060531702144,0.6809977460787912,0.18191499278691053,-1.9738982973669499,2.106524980536197,0.39751620569859697,0.7135662481281121,1.0809441409740217,-1.4134563452576183,0.4894952597822415,0.17683896993631704,-1.1456114919750935,0.45785395409532853,0.8149060300715975,0.7950248045452659,-0.8165284522645284,-0.7036432639428977,-0.841613476508734,0.04921958009717734,-0.9129301249379584,-0.3225494967677585,0.7290956722313819,0.1325902415184323,-0.13985254834644315,-0.7782418618233832,-0.22196203254347724,0.4387081546005042,-1.0349274415864353,0.6983205002123379,0.06645755986090891,-0.32499356923915573,0.09010081802540643,0.06862866293032295,-0.22426330751178086,7000000.0
Daniel Muñoz,6.180128563157568,1.824958996758657,0.2698599425572067,-3.4240871772959935,4.867895402572142,1.3076975959091033,-1.3099577921525314,1.6300939634020715,1.370367531745256,0.636494717369208,0.9915637216657012,0.7677699077897708,-0.2887947828606593,-0.32523118707003895,0.3932989980958648,-0.1224352999760706,1.5690887573013583,1.300857204280686,-0.9069737542828579,0.7985412319607523,-0.3274256217273059,1.814624698541954,1.1497436295897179,-1.6871553798917955,-0.4568652957906181,-0.7190537554380516,-0.30254482832380203,-0.0004706465157945736,0.31841002972959087,0.31584285216550884,0.23677017972119704,0.4647285001883996,0.5093909010853857,-0.14425806028875243,-0.5357628511866146,-0.4157480600841195,0.6726754732332408,25000000.0
