Player,Versus,BasedOnMinutes,scouting_period,Per90_Average Pass Length,Per90_Avg. Distance of Def. Actions,Per90_Avg. Length of Goal Kicks,Per90_Clean Sheet Percentage,Per90_Clean Sheets,Per90_Corner Kick Goals Against,Per90_Crosses Faced,Per90_Crosses Stopped,Per90_Crosses Stopped %,Per90_Def. Actions Outside Pen. Area,Per90_Draws,Per90_Free Kick Goals Against,Per90_Goal Kicks,Per90_Goals Against,Per90_Launch %,Per90_Launch% (Goal Kicks),Per90_Losses,Per90_Own Goals Scored Against Goalkeeper,Per90_PSxG-GA,Per90_PSxG/SoT,Per90_Pass Completion Percentage (Launched),Per90_Passes Attempted (GK),Per90_Passes Attempted (Launched),Per90_Passes Completed (Launched),Per90_Penalty Kicks Allowed,Per90_Penalty Kicks Attempted,Per90_Penalty Kicks Missed,Per90_Penalty Kicks Saved,Per90_Post-Shot Expected Goals,Per90_Save Percentage,Per90_Save% (Penalty Kicks),Per90_Saves,Per90_Shots on Target Against,Per90_Throws Attempted,Per90_Wins,Percentile_Average Pass Length,Percentile_Avg. Distance of Def. Actions,Percentile_Avg. Length of Goal Kicks,Percentile_Clean Sheet Percentage,Percentile_Clean Sheets,Percentile_Corner Kick Goals Against,Percentile_Crosses Faced,Percentile_Crosses Stopped,Percentile_Crosses Stopped %,Percentile_Def. Actions Outside Pen. Area,Percentile_Draws,Percentile_Free Kick Goals Against,Percentile_Goal Kicks,Percentile_Goals Against,Percentile_Launch %,Percentile_Launch% (Goal Kicks),Percentile_Losses,Percentile_Own Goals Scored Against Goalkeeper,Percentile_PSxG-GA,Percentile_PSxG/SoT,Percentile_Pass Completion Percentage (Launched),Percentile_Passes Attempted (GK),Percentile_Passes Attempted (Launched),Percentile_Passes Completed (Launched),Percentile_Penalty Kicks Allowed,Percentile_Penalty Kicks Attempted,Percentile_Penalty Kicks Missed,Percentile_Penalty Kicks Saved,Percentile_Post-Shot Expected Goals,Percentile_Save Percentage,Percentile_Save% (Penalty Kicks),Percentile_Saves,Percentile_Shots on Target Against,Percentile_Throws Attempted,Percentile_Wins
André Onana,Goalkeepers,3420,2023-2024 Premier League,31.2,12.9,44.6,23.7,0.24,0.29,15.82,1.11,7.0,0.97,0.16,0.03,4.26,1.53,31.0,58.0,0.37,0.03,0.06,0.27,29.0,35.55,13.5,3.92,0.18,0.18,0.0,0.0,1.56,74.9,0.0,3.84,5.34,3.68,0.47,48.0,28.0,55.0,67.0,67.0,30.0,83.0,67.0,56.0,27.0,22.0,25.0,30.0,64.0,45.0,58.0,42.0,70.0,77.0,36.0,17.0,70.0,58.0,48.0,19.0,63.0,45.0,41.0,39.0,95.0,41.0,77.0,70.0,23.0,67.0
André Onana,Goalkeepers,3960,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",30.2,12.4,46.3,22.7,0.23,0.36,13.32,0.98,7.3,0.95,0.27,0.0,3.59,1.5,29.2,63.3,0.32,0.02,0.07,0.29,29.2,36.41,12.91,3.77,0.18,0.2,0.0,0.02,1.55,72.5,11.1,3.3,4.8,3.95,0.41,29.0,28.0,63.0,45.0,45.0,4.0,41.0,69.0,72.0,48.0,57.0,70.0,7.0,37.0,37.0,70.0,41.0,67.0,63.0,53.0,16.0,88.0,52.0,35.0,17.0,77.0,40.0,55.0,29.0,66.0,52.0,71.0,69.0,34.0,60.0
Antonín Kinský,Goalkeepers,540,2024-2025 Europa League,29.9,18.8,31.7,16.7,0.17,0.0,7.17,0.33,4.7,1.5,0.17,0.17,3.33,1.17,25.6,30.0,0.67,0.0,-0.2,0.32,47.6,37.17,10.5,5.0,0.17,0.17,0.0,0.0,0.97,62.5,0.0,1.5,2.67,3.33,0.17,26.0,89.0,18.0,39.0,39.0,74.0,1.0,13.0,36.0,75.0,35.0,5.0,5.0,64.0,18.0,20.0,82.0,57.0,17.0,70.0,96.0,87.0,29.0,73.0,30.0,51.0,48.0,39.0,86.0,7.0,39.0,1.0,4.0,32.0,19.0
Antonín Kinský,Goalkeepers,630,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",30.0,14.8,30.0,14.3,0.14,0.0,9.0,0.57,6.3,1.29,0.14,0.14,3.71,1.29,25.2,26.9,0.71,0.14,-0.27,0.27,47.3,38.0,10.57,5.0,0.14,0.14,0.0,0.0,0.87,60.0,0.0,1.71,2.86,3.86,0.14,28.0,70.0,4.0,19.0,19.0,99.0,2.0,22.0,55.0,72.0,11.0,1.0,9.0,59.0,24.0,6.0,99.0,4.0,7.0,29.0,98.0,93.0,28.0,62.0,31.0,49.0,40.0,26.0,97.0,4.0,26.0,1.0,2.0,28.0,7.0
Arijanet Muric,Goalkeepers,900,2023-2024 Premier League,34.3,17.2,45.1,0.0,0.0,0.1,14.3,2.0,14.0,3.1,0.4,0.0,3.3,1.6,36.4,60.6,0.4,0.1,0.67,0.26,35.2,54.7,21.9,7.7,0.1,0.2,0.0,0.1,2.17,80.8,50.0,6.2,7.8,5.4,0.2,61.0,77.0,63.0,3.0,3.0,88.0,61.0,98.0,95.0,98.0,98.0,64.0,17.0,58.0,64.0,61.0,48.0,33.0,98.0,20.0,55.0,98.0,92.0,95.0,58.0,75.0,45.0,98.0,8.0,98.0,91.0,98.0,98.0,73.0,16.0
Arijanet Muric,Goalkeepers,1260,2020-2021 Eredivisie,44.0,14.4,56.2,21.4,0.21,0.29,12.93,0.64,5.0,0.93,0.21,0.0,6.64,1.86,56.9,76.3,0.43,0.14,-0.26,0.29,35.7,24.86,19.21,6.86,0.14,0.21,0.0,0.07,1.45,61.3,33.3,2.64,4.43,4.43,0.36,95.0,34.0,92.0,60.0,60.0,15.0,47.0,82.0,79.0,40.0,39.0,68.0,24.0,37.0,95.0,89.0,53.0,5.0,21.0,68.0,31.0,21.0,63.0,60.0,56.0,60.0,40.0,89.0,47.0,11.0,85.0,24.0,44.0,29.0,56.0
Arijanet Muric,Goalkeepers,1530,2024-2025 Premier League,30.6,12.1,54.6,5.9,0.06,0.12,14.06,2.18,15.5,1.12,0.35,0.0,5.53,1.82,30.0,75.5,0.53,0.0,0.0,0.3,34.1,29.18,12.94,4.41,0.18,0.18,0.0,0.0,1.82,70.8,0.0,3.82,5.65,5.47,0.12,41.0,20.0,91.0,9.0,9.0,63.0,59.0,98.0,98.0,48.0,70.0,63.0,52.0,27.0,48.0,91.0,80.0,70.0,41.0,39.0,39.0,34.0,52.0,55.0,20.0,77.0,50.0,38.0,27.0,59.0,38.0,77.0,84.0,80.0,13.0
Arijanet Muric,Goalkeepers,2430,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",32.5,14.4,52.1,3.7,0.04,0.11,14.15,2.11,14.9,1.85,0.37,0.0,4.7,1.74,33.4,71.7,0.48,0.04,0.25,0.28,34.6,38.63,16.26,5.63,0.15,0.19,0.0,0.04,1.95,75.3,20.0,4.7,6.44,5.44,0.15,47.0,63.0,83.0,1.0,1.0,71.0,54.0,99.0,99.0,91.0,88.0,70.0,22.0,23.0,50.0,88.0,77.0,48.0,94.0,39.0,43.0,96.0,72.0,75.0,30.0,69.0,40.0,70.0,7.0,83.0,65.0,99.0,99.0,89.0,8.0
Arijanet Muric,Goalkeepers,3614,2022-2023 Championship,28.0,16.5,41.5,44.7,0.42,0.22,10.98,1.2,10.9,1.44,0.3,0.0,4.68,0.77,21.2,51.6,0.07,0.0,0.04,0.27,41.6,34.84,9.81,4.08,0.05,0.07,0.0,0.02,0.85,74.6,33.3,2.29,3.09,4.63,0.65,4.0,79.0,28.0,91.0,87.0,23.0,11.0,77.0,94.0,67.0,62.0,71.0,1.0,96.0,1.0,30.0,4.0,78.0,67.0,16.0,96.0,96.0,4.0,28.0,52.0,40.0,43.0,62.0,87.0,87.0,59.0,33.0,23.0,55.0,99.0
Asmir Begović,Goalkeepers,450,2019-2020 Europa League,42.4,12.9,51.6,0.0,0.0,0.4,11.8,0.6,5.1,0.6,0.2,0.2,9.4,2.0,57.8,72.3,0.6,0.2,-0.46,0.35,35.4,16.6,16.4,5.8,0.0,0.0,0.0,0.0,1.34,47.4,,2.0,3.8,2.6,0.2,87.0,43.0,66.0,17.0,17.0,17.0,35.0,73.0,75.0,47.0,47.0,8.0,65.0,20.0,89.0,74.0,80.0,18.0,18.0,83.0,43.0,7.0,61.0,51.0,73.0,24.0,46.0,44.0,43.0,9.0,,25.0,42.0,13.0,33.0
