"","Player","age"
"242","Beto",27.0301369863014
"243","Armando Broja",23.4219178082192
"244","Chermiti",20.7205479452055
"245","Bernd Leno",32.9424657534247
"246","Steven Benda",26.3643835616438
"247","Joachim Andersen",28.7013698630137
"248","Issa Diop",28.0904109589041
"249","Calvin Bassey",25.1150684931507
"250","Jorge Cuenca",25.2356164383562
"251","Antonee Robinson",27.5123287671233
"252","Ryan Sessegnon",24.7369863013699
"253","Kenny Tete",29.3424657534247
"254","Timothy Castagne",29.186301369863
"255","Sander Berge",26.9918032786885
"256","Harrison Reed",30.041095890411
"257","Saša Lukić",28.4986301369863
"258","Tom Cairney",34.0602739726027
"259","Josh King",18.1068493150685
"260","Emile Smith Rowe",24.5424657534247
"261","Andreas Pereira",29.1123287671233
"262","Alex Iwobi",28.7780821917808
"263","Martial Godo",21.9150684931507
"264","Reiss Nelson",25.172602739726
"265","Harry Wilson",27.8931506849315
"266","Adama Traoré",29.0465753424658
"267","Rodrigo Muniz",23.7753424657534
"268","Raúl Jiménez",33.772602739726
"269","Carlos Vinícius",29.8849315068493
"270","Arijanet Muric",26.2630136986301
"271","Christian Walton",29.2575342465753
"272","Cieran Slicker",22.4082191780822
"273","Jacob Greaves",24.4164383561644
"274","Dara O'Shea",25.9424657534247
"275","Ben Godfrey",27.0739726027397
"276","Cameron Burgess",29.3095890410959
"277","Luke Woolfenden",26.3095890410959
"278","Leif Davis",25.1150684931507
"279","Conor Townsend",31.9424657534247
"280","Ben Johnson",25.0493150684932
"281","Harry Clarke",23.9479452054795
"282","Axel Tuanzebe",27.2438356164384
"283","Kalvin Phillips",29.1945205479452
"284","Jens Cajuste",25.5068493150685
"285","Jack Taylor",26.6383561643836
"286","Sam Morsy",33.4219178082192
"287","Massimo Luongo",32.3808219178082
"288","Omari Hutchinson",21.2849315068493
"289","Jaden Philogene",23.0082191780822
"290","Jack Clarke",24.2191780821918
"291","Sammie Szmodics",29.3835616438356
"292","Nathan Broadhead",26.8547945205479
"293","Chiedozie Ogbene",27.7835616438356
"294","Wes Burns",30.2191780821918
"295","Conor Chaplin",27.9863387978142
"296","Liam Delap",22.0082191780822
"297","George Hirst",25.9890710382514
"298","Ali Al-Hamadi",22.9506849315068
"299","Mads Hermansen",24.5890410958904
"300","Daniel Iversen",27.5671232876712
"301","Danny Ward",31.641095890411
"302","Jakub Stolarczyk",24.1479452054795
"303","Wout Faes",26.8602739726027
"304","Caleb Okoli",23.5835616438356
"305","Conor Coady",31.9617486338798
"306","Jannik Vestergaard",32.5260273972603
"307","Victor Kristiansen",22.1561643835616
"308","Luke Thomas",23.6739726027397
"309","James Justin",26.9672131147541
"310","Ricardo Pereira",31.3506849315068
"311","Woyo Coulibaly",25.7150684931507
"312","Wilfred Ndidi",28.1561643835616
"313","Oliver Skipp",24.4054794520548
"314","Boubakary Soumaré",25.9562841530055
"315","Harry Winks",29.0246575342466
"316","Hamza Choudhury",27.3643835616438
"317","Bilal El Khannouss",20.758904109589
"318","Facundo Buonanotte",20.1369863013699
"319","Stephy Mavididi",26.7013698630137
"320","Issahaku Fatawu",20.9315068493151
"321","Bobby De Cordova-Reid",32.0246575342466
"322","Kasey McAteer",23.2219178082192
"323","Odsonne Edouard",27.0712328767123
"324","Patson Daka",26.3424657534247
"325","Tom Cannon",22.1232876712329
"326","Jordan Ayew",33.4191780821918
"327","Jamie Vardy",38.0849315068493
"328","Alisson",32.3616438356164
"329","Caoimhín Kelleher",26.2191780821918
"330","Vitezslav Jaros",23.5561643835616
"331","Ibrahima Konaté",25.7178082191781
"332","Joe Gomez",27.7232876712329
"333","Virgil van Dijk",33.5972602739726
"334","Jarell Quansah",22.0356164383562
"335","Andrew Robertson",30.9232876712329
"336","Konstantinos Tsimikas",28.7534246575342
"337","Trent Alexander-Arnold",26.3479452054795
"338","Conor Bradley",21.5945205479452
"339","Ryan Gravenberch",22.7424657534247
"340","Wataru Endo",32.0054794520548
"341","Tyler Morton",22.2821917808219
"342","Alexis Mac Allister",26.1342465753425
"343","Dominik Szoboszlai",24.2986301369863
"344","Curtis Jones",24.0328767123288
"345","Harvey Elliott",21.8575342465753
"346","Luis Díaz",28.0794520547945
"347","Cody Gakpo",25.7671232876712
"348","Mohamed Salah",32.6602739726027
"349","Federico Chiesa",27.2986301369863
"350","Darwin Núñez",25.6356164383562
"351","Diogo Jota",28.1890410958904
"352","Nick Pope",32.8164383561644
"353","Odysseas Vlachodimos",30.7972602739726
"354","Martin Dúbravka",36.0739726027397
"355","Mark Gillespie",32.8794520547945
"356","John Ruddy",38.3013698630137
"357","Sven Botman",25.0821917808219
"358","Lloyd Kelly",26.3506849315068
"359","Fabian Schär",33.145205479452
"360","Dan Burn",32.7616438356164
"361","Jamaal Lascelles",31.2520547945205
"362","Lewis Hall",20.427397260274
"363","Matt Targett",29.4
"364","Jamal Lewis",27.0465753424658
"365","Alex Murphy",20.6328767123288
"366","Tino Livramento",22.2493150684931
"367","Kieran Trippier",34.3972602739726
"368","Emil Krafth",30.5287671232877
"369","Bruno Guimarães",27.2383561643836
"370","Joelinton",28.4958904109589
"371","Sandro Tonali",24.7643835616438
"372","Joe Willock",25.4794520547945
"373","Sean Longstaff",27.2849315068493
"374","Lewis Miley",18.7835616438356
"375","Anthony Gordon",23.9644808743169
"376","Harvey Barnes",27.1753424657534
"377","Miguel Almirón",31.0027397260274
"378","Jacob Murphy",29.9644808743169
"379","Alexander Isak",25.3917808219178
"380","Callum Wilson",32.9562841530055
"381","William Osula",21.5232876712329
"382","Matz Sels",32.9590163934426
"383","Carlos Miguel",26.3424657534247
"384","Wayne Hennessey",38.0493150684932
"385","Murillo",22.6082191780822
"386","Nikola Milenković",27.3342465753425
"387","Morato",23.6191780821918
"388","Andrew Omobamidele",22.6383561643836
"389","Willy Boly",34.0219178082192
"390","Álex Moreno",31.6794520547945
"391","Harry Toffolo",29.4821917808219
"392","Neco Williams",23.8328767123288
"393","Ola Aina",28.3452054794521
"394","Ibrahim Sangaré",27.1945205479452
"395","Danilo",23.7890410958904
"396","Elliot Anderson",22.2657534246575
"397","Nicolás Domínguez",26.6246575342466
"398","James Ward-Prowse",30.2794520547945
"399","Ryan Yates",27.2246575342466
"400","Lewis O'Brien",26.3287671232877
