Player,age,player_market_value_euro,season_start_year
Giannelli Imbula,27,2400000.0,2019
Giuseppe Pezzella,22,2400000.0,2019
Ibrahima Mbaye,25,2400000.0,2019
Jacopo Petriccione,25,2400000.0,2019
Jaromir Zmrhal,26,2400000.0,2019
Koray Günter,25,2400000.0,2019
Luca Mazzitelli,24,2400000.0,2019
Mattia Bani,26,2400000.0,2019
Mattia Destro,29,2400000.0,2019
Milan Badelj,31,2400000.0,2019
Riccardo Gagliolo,30,2400000.0,2019
Riccardo Saponara,28,2400000.0,2019
Mehdi Léris,22,2300000.0,2019
Arturo Calabresi,24,2200000.0,2019
Guilherme Arana,23,2200000.0,2019
Ladislav Krejci,27,2200000.0,2019
Alex Ferrari,25,2000000.0,2019
Andrea La Mantia,29,2000000.0,2019
Bruno Peres,30,2000000.0,2019
Bryan Dabo,28,2000000.0,2019
Filip Djuricic,28,2000000.0,2019
Gabriel Strefezza,23,2000000.0,2019
Gastón Brugman,27,2000000.0,2019
Gennaro Tutino,23,2000000.0,2019
Ivan Radovanovic,31,2000000.0,2019
Lasse Schöne,34,2000000.0,2019
Marco Mancosu,31,2000000.0,2019
Marco Sportiello,28,2000000.0,2019
Morten Thorsby,24,2000000.0,2019
Nikolas Spalek,23,2000000.0,2019
Peter Ankersen,29,2000000.0,2019
Simon Skrabb,25,2000000.0,2019
Luca Ranieri,21,1800000.0,2019
Roger Ibañez,21,1800000.0,2019
Vincenzo Millico,19,1800000.0,2019
Lukasz Teodorczyk,29,1700000.0,2019
Cristian Zapata,33,1600000.0,2019
Edoardo Goldaniga,26,1600000.0,2019
Fabio Quagliarella,37,1600000.0,2019
Federico Bonazzoli,23,1600000.0,2019
Federico Mattiello,24,1600000.0,2019
Florian Ayé,23,1600000.0,2019
Hidde ter Avest,23,1600000.0,2019
Lorenzo Venuti,25,1600000.0,2019
Lukas Haraslin,24,1600000.0,2019
Marco D'Alessandro,29,1600000.0,2019
Marco Parolo,35,1600000.0,2019
Mert Çetin,23,1600000.0,2019
Paweł Dawidowicz,25,1600000.0,2019
Stefano Sabelli,27,1600000.0,2019
Yevgen Shakhov,29,1600000.0,2019
Zan Majer,27,1600000.0,2019
Ales Mateju,24,1500000.0,2019
Lorenzo Dickmann,23,1500000.0,2019
Pepín Machín,23,1500000.0,2019
César Falletti,27,1400000.0,2019
Gabriele Moncini,24,1400000.0,2019
Jandrei,27,1400000.0,2019
Jhon Chancellor,28,1400000.0,2019
Mattia Sprocati,27,1400000.0,2019
Romario Benzar,28,1400000.0,2019
Samuel Di Carmine,31,1400000.0,2019
Aleksa Terzic,20,1300000.0,2019
Bruno Martella,27,1300000.0,2019
Dodô,28,1300000.0,2019
Alberto Paloschi,30,1200000.0,2019
Alessio Riccardi,19,1200000.0,2019
Andrea Masiello,34,1200000.0,2019
Antonino Barillà,32,1200000.0,2019
Borja Valero,35,1200000.0,2019
Charalampos Lykogiannis,26,1200000.0,2019
Fabio Pisacane,34,1200000.0,2019
Filip Jagiello,22,1200000.0,2019
Jacopo Sala,28,1200000.0,2019
Marko Jankovic,24,1200000.0,2019
Marko Pajac,27,1200000.0,2019
Martín Cáceres,33,1200000.0,2019
Marvin Zeegelaar,29,1200000.0,2019
Ragnar Klavan,34,1200000.0,2019
Ryder Matos,27,1200000.0,2019
Sebastián Cristóforo,26,1200000.0,2019
Sebastian Prödl,33,1200000.0,2019
Simone Iacoponi,33,1200000.0,2019
Simone Missiroli,34,1200000.0,2019
Valentin Eysseric,28,1200000.0,2019
Valter Birsa,33,1200000.0,2019
Vittorio Parigini,24,1200000.0,2019
Andrija Balic,22,1100000.0,2019
Liam Henderson,24,1100000.0,2019
Vincent Laurini,31,1100000.0,2019
Andri Fannar Baldursson,18,1000000.0,2019
Brian Oddei,17,1000000.0,2019
Denilho Cleonise,18,1000000.0,2019
Gianluigi Buffon,42,1000000.0,2019
Karlo Letica,23,1000000.0,2019
Kristoffer Askildsen,19,1000000.0,2019
Lorenzo Colombo,18,1000000.0,2019
Roberto Piccoli,19,1000000.0,2019
Rômulo,33,1000000.0,2019
Alessandro Deiola,24,950000.0,2019
Emmanuel Badu,29,950000.0,2019
Ervin Zukanovic,33,950000.0,2019
Panagiotis Tachtsidis,29,950000.0,2019
Sinan Gümüş,26,950000.0,2019
Kingsley Michael,20,900000.0,2019
