"Season","Player_URL","comp_name","region","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro"
"2019","https://www.transfermarkt.com/ante-rebic/profil/spieler/187587","Bundesliga","Europe","Germany",2019,"Eintracht Frankfurt","-","Ante Rebić","Left Winger",1993-09-21,26,"Croatia","US Lecce","1.85","right","2018-07-01","ACF Fiorentina",NA,2.4e+07
"2019","https://www.transfermarkt.com/emre-can/profil/spieler/119296","Bundesliga","Europe","Germany",2019,"Borussia Dortmund","27","Emre Can","Defensive Midfield",1994-01-12,26,"Germany","Borussia Dortmund","1.86","right","2020-07-01","Juventus FC",NA,2.4e+07
"2019","https://www.transfermarkt.com/kerem-demirbay/profil/spieler/125858","Bundesliga","Europe","Germany",2019,"Bayer 04 Leverkusen","10","Kerem Demirbay","Central Midfield",1993-07-03,26,"Germany","Galatasaray","1.83","left","2019-07-01","TSG 1899 Hoffenheim",NA,2.4e+07
"2019","https://www.transfermarkt.com/konrad-laimer/profil/spieler/223967","Bundesliga","Europe","Germany",2019,"RB Leipzig","27","Konrad Laimer","Central Midfield",1997-05-27,23,"Austria","Bayern Munich","1.8","right","2017-07-01","Red Bull Salzburg",NA,2.4e+07
"2019","https://www.transfermarkt.com/mats-hummels/profil/spieler/39728","Bundesliga","Europe","Germany",2019,"Borussia Dortmund","15","Mats Hummels","Centre-Back",1988-12-16,31,"Germany","AS Roma","1.91","right","2019-07-01","Bayern Munich",NA,2.4e+07
"2019","https://www.transfermarkt.com/yussuf-poulsen/profil/spieler/157635","Bundesliga","Europe","Germany",2019,"RB Leipzig","9","Yussuf Poulsen","Centre-Forward",1994-06-15,26,"Denmark","RB Leipzig","1.92","right","2013-07-04","Lyngby Boldklub",NA,2.4e+07
"2019","https://www.transfermarkt.com/emil-forsberg/profil/spieler/111078","Bundesliga","Europe","Germany",2019,"RB Leipzig","10","Emil Forsberg","Left Winger",1991-10-23,28,"Sweden","New York Red Bulls","1.77","right","2015-01-07","Malmö FF",NA,22500000
"2019","https://www.transfermarkt.com/evan-ndicka/profil/spieler/371149","Bundesliga","Europe","Germany",2019,"Eintracht Frankfurt","2","Evan Ndicka","Centre-Back",1999-08-20,20,"Cote d'Ivoire","AS Roma","1.92","left","2018-07-05","AJ Auxerre",NA,22500000
"2019","https://www.transfermarkt.com/exequiel-palacios/profil/spieler/401578","Bundesliga","Europe","Germany",2019,"Bayer 04 Leverkusen","25","Exequiel Palacios","Central Midfield",1998-10-05,21,"Argentina","Bayer 04 Leverkusen","1.78","right","2020-01-01","CA River Plate",NA,22500000
"2019","https://www.transfermarkt.com/marcus-thuram/profil/spieler/318528","Bundesliga","Europe","Germany",2019,"Borussia Mönchengladbach","10","Marcus Thuram","Centre-Forward",1997-08-06,22,"France","Inter Milan","1.92","right","2019-07-22","EA Guingamp",NA,22500000
